,TransactionID,AccountID,TransactionType,Amount,TransactionDate,Season
0,1,3913,Transfer,3150.12,9/24/2023,Fall
1,2,2591,Transfer,6212.12,6/7/2022,Summer
2,3,3277,Transfer,451.72,11/24/2024,Fall
3,4,3404,Deposit,8525.28,4/6/2023,Spring
4,5,4345,Deposit,7306.17,1/21/2025,Winter
5,6,2266,Withdrawal,559.16,2/16/2025,Winter
6,7,1031,Withdrawal,6976.14,5/11/2023,Spring
7,8,3339,Payment,509.1,2/20/2025,Winter
8,9,4911,Withdrawal,366.62,3/15/2024,Spring
9,10,4721,Deposit,4272.02,11/23/2023,Fall
10,11,3219,Transfer,7021.26,1/15/2024,Winter
11,12,2828,Payment,9780.11,8/2/2023,Summer
12,13,207,Deposit,3356.54,5/18/2022,Spring
13,14,3448,Withdrawal,1401.43,12/13/2023,Winter
14,15,3407,Deposit,4912.52,6/30/2024,Summer
15,16,3952,Transfer,999.74,2/5/2025,Winter
16,17,1932,Withdrawal,5949.48,4/8/2024,Spring
17,18,3836,Withdrawal,8590.31,10/18/2024,Fall
18,19,827,Payment,5671.44,2/19/2025,Winter
19,20,1362,Transfer,7677.12,1/20/2025,Winter
20,21,4059,Deposit,2253.87,8/19/2022,Summer
21,22,172,Transfer,7011.21,9/18/2023,Fall
22,23,1669,Deposit,8958.62,5/27/2023,Spring
23,24,1433,Transfer,1218.76,6/3/2023,Summer
24,25,3163,Transfer,3442.89,4/4/2025,Spring
25,26,1340,Withdrawal,8783.8,11/5/2024,Fall
26,27,1626,Deposit,4048.53,5/13/2022,Spring
27,28,745,Deposit,5776.81,8/2/2024,Summer
28,29,2552,Withdrawal,3025.52,11/13/2024,Fall
29,30,2825,Deposit,4747.91,5/3/2023,Spring
30,31,2150,Withdrawal,8343.31,6/25/2022,Summer
31,32,1906,Payment,1014.99,3/11/2023,Spring
32,33,378,Withdrawal,8562.82,6/13/2023,Summer
33,34,4292,Withdrawal,9171.1,1/8/2025,Winter
34,35,4290,Payment,7480.56,10/31/2023,Fall
35,36,3578,Deposit,8759.7,10/27/2022,Fall
36,37,283,Withdrawal,6163.41,11/7/2022,Fall
37,38,4724,Transfer,3451.39,4/22/2024,Spring
38,39,4749,Deposit,6577.82,8/6/2024,Summer
39,40,4309,Withdrawal,5379.77,8/11/2024,Summer
40,41,2294,Deposit,2709.36,10/8/2022,Fall
41,42,1803,Transfer,4284.9,7/15/2024,Summer
42,43,3750,Deposit,879.09,2/5/2023,Winter
43,44,1,Withdrawal,4766.38,7/1/2022,Summer
44,45,4609,Transfer,1193.98,9/18/2023,Fall
45,46,830,Withdrawal,1727.37,1/21/2024,Winter
46,47,3030,Withdrawal,6677.74,12/11/2024,Winter
47,48,54,Deposit,8831.93,3/7/2023,Spring
48,49,3197,Transfer,3275.2,2/25/2023,Winter
49,50,4145,Payment,6129.31,3/26/2023,Spring
50,51,3244,Payment,6842.54,7/19/2024,Summer
51,52,1333,Deposit,8217.52,4/9/2025,Spring
52,53,2696,Deposit,2674.37,12/30/2023,Winter
53,54,2661,Withdrawal,3140.17,12/13/2024,Winter
54,55,925,Transfer,968.26,9/21/2022,Fall
55,56,2463,Withdrawal,2846.63,6/21/2023,Summer
56,57,998,Payment,8476.05,12/5/2023,Winter
57,58,587,Deposit,5688.04,8/24/2024,Summer
58,59,4109,Withdrawal,262.37,12/6/2023,Winter
59,60,1528,Payment,1442.49,2/20/2025,Winter
60,61,1444,Transfer,4269.32,3/31/2024,Spring
61,62,2479,Payment,3755.61,10/29/2024,Fall
62,63,1360,Payment,8103.78,5/17/2022,Spring
63,64,1731,Withdrawal,7436.09,10/20/2022,Fall
64,65,2985,Transfer,2060.13,11/20/2023,Fall
65,66,697,Payment,5520.68,7/23/2023,Summer
66,67,3878,Withdrawal,6034.8,5/6/2023,Spring
67,68,3737,Transfer,5590.3,9/19/2022,Fall
68,69,203,Withdrawal,774.62,5/11/2024,Spring
69,70,991,Payment,1719.27,9/20/2024,Fall
70,71,4493,Withdrawal,691.33,10/11/2024,Fall
71,72,2552,Transfer,9055.16,1/2/2025,Winter
72,73,583,Deposit,825.87,7/14/2023,Summer
73,74,4722,Deposit,6503.14,6/3/2023,Summer
74,75,4820,Payment,9738.88,5/7/2024,Spring
75,76,3522,Transfer,1472.74,1/4/2025,Winter
76,77,2827,Payment,9769.01,2/2/2025,Winter
77,78,4387,Withdrawal,307.98,3/20/2025,Spring
78,79,2687,Deposit,7037.76,4/11/2023,Spring
79,80,2548,Payment,5636.79,6/3/2022,Summer
80,81,652,Payment,2321.94,7/29/2023,Summer
81,82,3129,Deposit,5692.12,8/29/2022,Summer
82,83,3487,Transfer,9631.31,1/1/2025,Winter
83,84,3225,Transfer,3425.19,7/27/2023,Summer
84,85,2543,Deposit,5744.89,12/3/2023,Winter
85,86,3099,Payment,8473.93,3/16/2023,Spring
86,87,733,Payment,2455.42,9/28/2024,Fall
87,88,3013,Withdrawal,606.2,12/16/2023,Winter
88,89,218,Deposit,1758.28,9/23/2023,Fall
89,90,3,Payment,487.77,9/5/2022,Fall
90,91,469,Transfer,4534.44,12/1/2024,Winter
91,92,2921,Deposit,4690.47,11/29/2023,Fall
92,93,157,Payment,9540.02,5/31/2024,Spring
93,94,4675,Transfer,8111.27,2/2/2024,Winter
94,95,2997,Transfer,3975.33,8/2/2024,Summer
95,96,2031,Withdrawal,5003.38,2/6/2023,Winter
96,97,4094,Transfer,636.37,4/19/2023,Spring
97,98,1102,Payment,2523.83,2/17/2023,Winter
98,99,2563,Withdrawal,5944.57,6/4/2023,Summer
99,100,672,Transfer,6502.18,11/24/2023,Fall
100,101,3328,Withdrawal,2025.61,12/9/2024,Winter
101,102,4829,Payment,3419.01,3/18/2023,Spring
102,103,2255,Transfer,7168.09,10/25/2023,Fall
103,104,3594,Payment,9784.98,8/17/2024,Summer
104,105,985,Payment,5395.93,10/2/2022,Fall
105,106,4229,Payment,6003.85,12/14/2023,Winter
106,107,3975,Deposit,4006,12/23/2023,Winter
107,108,282,Deposit,3506.61,9/22/2023,Fall
108,109,779,Withdrawal,5102.71,1/7/2024,Winter
109,110,3184,Deposit,3055.52,1/10/2024,Winter
110,111,3187,Withdrawal,2850.61,8/15/2023,Summer
111,112,893,Payment,8311.69,8/27/2023,Summer
112,113,1510,Withdrawal,5829.14,8/30/2022,Summer
113,114,1804,Transfer,8697.71,5/5/2023,Spring
114,115,4996,Deposit,7993.32,9/4/2023,Fall
115,116,3742,Deposit,2985.89,8/5/2024,Summer
116,117,143,Withdrawal,1356.34,5/3/2024,Spring
117,118,3772,Withdrawal,5851.79,11/23/2024,Fall
118,119,396,Payment,2790.23,2/14/2023,Winter
119,120,263,Transfer,6595.41,4/3/2023,Spring
120,121,102,Deposit,2927.76,12/26/2022,Winter
121,122,3286,Transfer,3072.84,9/1/2022,Fall
122,123,4085,Deposit,4245.63,8/26/2022,Summer
123,124,3543,Transfer,2409.12,7/11/2023,Summer
124,125,1504,Payment,9314.45,3/13/2024,Spring
